CUST_ID,SEX,AGE,EDUCATION,INVESTMENT,INCOME,ACTIVITY,CHURN,YRLY_AMT,AVG_DAILY_TX,YRLY_TX,AVG_TX_AMT,NEGTWEETS,STATE,EDUCATION_GROUP,TwitterID,CHURN_LABEL
1009530860,F,84,2,114368,3852862,5,0,700259,0.917808,335,2090.32,3,TX,Bachelors degree,000000000000000000,false
1009544000,F,44,2,90298,3849843,1,0,726977,0.950685,347,2095.04,2,CA,Bachelors degree,000000000000000000,false
1009534260,F,23,2,94881,3217364,1,1,579084,0.920548,336,1723.46,5,CA,Bachelors degree,000000000000000000,true
1009574010,F,24,2,112099,2438218,4,1,470964,0.994521,363,1297.4199,2,WA,Bachelors degree,000000000000000000,true
1009578620,F,67,5,84638,2428245,3,0,446615,0.917808,335,1333.1799,3,CT,Doctorate,000000000000000000,false
1009575250,M,29,5,80194,2232158,5,1,405570,0.945205,345,1175.5701,9,NY,Doctorate,000000000000000000,true
1009558680,F,28,2,80673,2222973,1,1,407548,0.920548,336,1212.94,4,WA,Bachelors degree,000000000000000000,true
1009552380,M,21,5,104192,2010826,2,0,377970,0.983562,359,1052.8401,2,CT,Doctorate,000000000000000000,false
1009564800,F,25,2,94019,1996294,2,0,360328,0.920548,336,1072.4099,3,WA,Bachelors degree,000000000000000000,false
1009529600,F,55,5,105882,1896126,4,0,365085,0.991781,362,1008.52,1,CT,Doctorate,000000000000000000,false
1009542770,M,49,5,71032,1883207,1,0,356227,0.931507,340,1047.72,3,CA,Doctorate,000000000000000000,false
1009559340,F,42,5,87951,867110,4,0,172456,0.920548,336,513.261,3,CT,Doctorate,000000000000000000,false
1009578040,F,78,5,90798,743981,0,0,148179,0.989041,361,410.469,4,CA,Doctorate,000000000000000000,false
1009559430,F,46,2,87798,731399,2,0,143762,0.958904,350,410.74902,2,WA,Bachelors degree,000000000000000000,false
1009526050,M,63,5,118332,453591,2,0,97229.625,0.953425,348,279.396,2,CA,Doctorate,000000000000000000,false
1009577960,M,22,5,91842,418095,2,0,87458.5,0.917808,335,261.07007,4,NY,Doctorate,000000000000000000,false
1009528050,F,31,5,100717,406167,3,1,89943.125,0.994521,363,247.777,5,TX,Doctorate,000000000000000000,true
1009531260,M,70,2,86927,357753,1,1,73524.875,0.953425,348,211.279,9,WA,Bachelors degree,000000000000000000,true
1009573460,F,58,5,92417,342269,2,0,72886.625,0.956164,349,208.844,4,TX,Doctorate,000000000000000000,false
1009561370,M,41,3,108972,316530,4,0,70662.625,0.991781,362,195.2,7,TX,Master's degree,827548183110746000,false
1009558420,M,72,5,71301,285872,5,0,61608.7,0.956164,349,176.529,3,WA,Doctorate,000000000000000000,false
1009559400,M,47,5,76646,264763,4,0,59775.4,0.961644,351,170.3,4,NY,Doctorate,000000000000000000,false
1009542740,F,33,2,116251,264244,0,1,60588.4,0.923288,337,179.788,15,TX,Bachelors degree,000000000000000000,true
1009534170,F,57,5,78373,257795,1,1,60526.4,0.953425,348,173.927,9,CT,Doctorate,000000000000000000,true
1009579940,F,58,2,83250,227844,1,0,50226.8,0.838356,306,164.14,4,WA,Bachelors degree,000000000000000000,false
1009580260,M,24,2,82451,226822,1,1,46729.2,0.8,292,160.032,9,CA,Bachelors degree,000000000000000000,true
1009558290,F,50,3,76285,225602,4,0,48090.4,0.860274,314,153.154,3,CA,Master's degree,000000000000000000,false
1009552030,M,32,2,79156,225412,1,1,47881.2,0.865753,316,151.523,9,CT,Bachelors degree,000000000000000000,true
1009550120,M,74,2,85072,224141,1,1,48611,0.827397,302,160.963,7,TX,Bachelors degree,000000000000000000,true
1009534870,F,78,2,96443,224002,2,0,47143.4,0.827397,302,156.104,2,CT,Bachelors degree,000000000000000000,false
1009558990,F,74,2,109841,223025,2,0,46345.8,0.832877,304,152.453,2,CA,Bachelors degree,000000000000000000,false
1009566140,M,72,3,95387,222836,2,0,46718.9,0.819178,299,156.25,3,TX,Master's degree,000000000000000000,false
1009542800,F,64,2,101193,222582,0,0,46897.9,0.854795,312,150.314,4,WA,Bachelors degree,000000000000000000,false
1009547060,M,21,2,91409,222577,2,1,45860.3,0.821918,300,152.868,14,CA,Bachelors degree,000000000000000000,true
1009534720,F,43,2,110909,220203,3,0,47793.3,0.819178,299,159.844,4,CA,Bachelors degree,000000000000000000,false
1009537710,F,54,2,73424,219937,2,0,48106.4,0.868493,317,151.755,2,NY,Bachelors degree,000000000000000000,false
1009532180,F,61,3,74987,219034,1,1,44861,0.819178,299,150.037,7,CT,Master's degree,000000000000000000,true
1009573290,F,34,2,92811,219032,4,0,46951.2,0.865753,316,148.58,4,TX,Bachelors degree,000000000000000000,false
